Week,Days_Out,Date,Day,Plan,Plan_Dist,Run_Dist,Run_Time,Avg_Pace,Seg_Time,Seg_Dist
,127,,Sa,12E,12,12.43,1:21:45,,,
Week 18,126,,Su,6E,6,3.12,0:24:36,,,
Week 18,125,,M,7E,7,6.03,0:45:59,,,
Week 18,124,,T,4E + 8x(1km I w/400m rest)  + 2E,15,12.84,1:26:33,,0:26:13,5
Week 18,123,,W,7E,7,8.7,1:17:52,,,
Week 18,122,,Th,6E + Strides,6,6.05,0:44:55,,,
Week 18,121,,F,6E,6,6.01,0:45:31,,,
Week 18,120,,Sa,16E,16,16.04,1:56:03,,,
Week 17,119,,Su,8E,8,6.03,0:47:24,,,
Week 17,118,,M,6E,6,7.25,0:58:19,,,
Week 17,117,,T,6E + T4 + 4min rest + 4T + 1E,15,11.03,1:13:18,,0:27:26,5.25
Week 17,116,,T,Double 6E,6,5.35,0:39:37,,,
Week 17,115,,Th,8E,8,11.15,1:33:15,,,
Week 17,114,,F,3E + 3T + 60 min E + 2T + 2E,19,,,,,
Week 17,113,,Sa,8E,8,,,,,
Week 16,112,,Su,10E,10,8.15,1:02:22,,,
Week 16,111,,M,8E,8,8.23,1:03:28,,,
Week 16,110,,T,10E or Track,10,12.12,1:22:48,,0:26:26,5
Week 16,109,,W,6E,6,8.61,1:10:14,,,
Week 16,108,,Th,4E + 3T + 4min E + 3T + 3min E + 2T + 2min E + 1T + 2E,15,14.47,1:33:04,,0:51:41,9
Week 16,107,,F,6E + Strides,6,4.83,0:38:15,,,
Week 16,106,,Sa,18E,18,18.03,2:09:40,,,
Week 15,105,,Su,6E,6,6.02,0:48:17,,,
Week 15,104,,M,8E,8,8.08,1:01:02,,0:02:16,0.41
Week 15,103,,T,6E + 4x[2T w/2min rest] + 2E,16,13.02,1:22:12,,0:43:45,8
Week 15,102,,W,8E,8,8.61,1:06:06,,,
Week 15,101,,Th,8E,8,10.19,1:15:22,,,
Week 15,100,,F,2E + 8M + 1T + 2M + 1E + 2M + 2E,18,18.32,1:55:38,,1:15:37,13
Week 15,99,,Sa,10E,10,9.01,1:08:57,,,
Week 14,98,,Su,6E,6,5.59,0:45:20,,,
Week 14,97,,M,8E,8,8.11,1:00:37,,,
Week 14,96,,T,8E + 4x[600 + 500 + 400 + 300 + 200] + 2E,17,16.13,2:05:54,,0:23:15,4.96
Week 14,95,,W,7E,7,7.1,0:53:51,,,
Week 14,94,,Th,10E,10,8.01,0:58:40,,,
Week 14,93,,F,6E,6,8.02,1:02:47,,,
Week 14,92,,Sa,2E + 2x[2T w/2min rest] + 60 min E + 2T + 2E,18,19.16,2:09:34,,0:34:29,6
Week 13,91,,Su,6E,6,6.13,0:44:45,,,
Week 13,90,,M,8E,8,8.1,1:04:38,,,
Week 13,89,,T,8E,8,8.42,1:03:50,,,
Week 13,88,,W,6E,6,6.1,0:44:31,,,
Week 13,87,,Th,7E + 4x[2T w/2min rest] + 2E,17,14.04,1:33:27,,0:44:29,8
Week 13,86,,F,6E,6,5.71,0:37:47,,0:16:13,2.97
Week 13,85,,Sa,19E,19,20.09,2:25:25,,,
Week 12,84,,Su,8E,8,6.02,0:45:13,,,
Week 12,83,,M,10E,10,11.96,1:36:54,,,
Week 12,82,,T,5E + 4T + 4min E + 3T + 3min E + 2T + 2min E + 1T +2E,16,17.35,1:52:15,,0:56:53,10
Week 12,81,,W,8E,8,8.04,0:59:21,,,
Week 12,80,,Th,10E,10,11.34,1:30:49,,0:12:27,2.5
Week 12,79,,F,8E,8,7.5,0:59:14,,,
Week 12,78,,Sa,4E + 8M + 1T + 4M + 1T + 2E,20,20.1,2:09:25,,1:21:32,14
Week 11,77,,Su,7E,7,7.02,0:58:07,,,
Week 11,76,,M,7E,7,7.6,1:00:26,,,
Week 11,75,,T,8E + 6x[1km I w/2min rest] + 4x[400R w/400 rest] + 2E,17,17.54,2:06:38,,0:24:00,4.78
Week 11,74,,W,8E,8,7.01,0:52:57,,,
Week 11,73,,Th,9E,9,11.02,1:24:24,,,
Week 11,72,,F,5E + Strides,5,5.4,0:42:00,,,
Week 11,71,,Sa,8E + 3T + 8E,19,20.18,2:18:51,,0:16:58,3
Week 10,70,,Su,5E,5,5.02,0:39:00,,,
Week 10,69,,M,5-8E,5,5.01,0:39:37,,,
Week 10,68,,T,Track (10 total),10,11.31,1:16:03,,0:34:38,6.08
Week 10,67,,W,5E,5,5.07,0:42:04,,,
Week 10,66,,Th,2E + 14M + 2E,18,18.03,1:52:48,,1:22:15,14
Week 10,65,,F,5E + Strides,5,5.01,0:40:43,,,
Week 10,64,,Sa,20E,20,20.1,2:29:52,,,
Week 9,63,,Su,10E,10,7.54,0:58:20,,0:05:56,1.2
Week 9,62,,M,5E + 2x[3T w/3min rest] + 2T + 3E,16,14.15,1:33:53,,0:45:42,8
Week 9,61,,T,8E,8,9.28,1:12:47,,,
Week 9,60,,W,5E + 6M + 1T + 5M + 3E,20,20.02,2:12:04,,1:10:40,12
Week 9,59,,Th,8E,8,5.1,0:40:14,,,
Week 9,58,,F,10E,10,7.09,0:58:44,,,
Week 9,57,,Sa,8E,8,,,,,
Week 8,56,,Su,7E,7,4.7,0:37:44,,,
Week 8,55,,M,8E,8,10.66,1:21:27,,,
Week 8,54,,T,8E + 8x[1km I w/2min rest] + 2E,17,16.03,1:54:44,,0:26:41,4.968
Week 8,53,,W,7E,7,8.03,1:02:36,,,
Week 8,52,,Th,10E,10,6.12,0:47:39,,,
Week 8,51,,F,7E + Strides,7,10.22,1:19:24,,0:05:38,0.83
Week 8,50,,Sa,1E + 3T + 10E + 3T + 1E ,18,18.03,1:59:48,,0:33:45,6
Week 7,49,,Su,8E,8,8.2,1:06:36,,,
Week 7,48,,M,6-8E,8,6.02,0:43:22,,,
Week 7,47,,T,10E,10,11.74,1:22:06,,0:18:50,3.73
Week 7,46,,W,5E,5,8.55,1:04:03,,,
Week 7,45,,Th,2E + 8M + 3T + 2E,15,15.09,1:34:33,,1:03:11,11
Week 7,44,,F,5E + Strides,5,5.05,0:41:19,,,
Week 7,43,,Sa,20E,20,20.18,2:27:28,,,
Week 6,42,,Su,8E,8,8.01,1:06:49,,,
Week 6,41,,M,10E,10,10,1:17:36,,,
Week 6,40,,T,4E + 4x[2T w/2 min rest] + 2E,14,14.01,1:33:25,,0:44:15,8
Week 6,39,,W,10E,10,13.17,1:44:24,,0:03:41,0.8
Week 6,38,,Th,12E,12,10.11,1:15:57,,,
Week 6,37,,F,7E + Strides,7,5.04,0:41:01,,,
Week 6,36,,Sa,2E + 8M + 1T + 4M + 1T + 1M +2E,19,20.01,2:06:01,,1:27:18,15
Week 5,35,,Su,8E,8,7.75,0:59:58,,,
Week 5,34,,M,10E,10,11.11,1:28:58,,,
Week 5,33,,T,6E + 5x[1km I w/2min rest] + 4x[400R w/400m rest] + 2E,14,12,1:20:44,,0:32:55,6.2
Week 5,32,,W,7E,7,11.43,1:35:40,,,
Week 5,31,,Th,12E,12,10.02,1:14:10,,,
Week 5,30,,F,7E,7,6.73,0:53:13,,,
Week 5,29,,Sa,2E + 2T + 8E + 2T + 2E,16,18.39,2:03:11,,0:26:14,5.1
Week 4,28,,Su,6E,6,5.22,0:40:42,,,
Week 4,27,,M,10E,10,9.34,1:10:26,,,
Week 4,26,,T,3E + 3x[1T w/1 min rest] + 3x[1km I w/2min rest] + 3x[400R w/400m rest] + 2E,12,13.02,1:26:17,,0:30:16,5.84
Week 4,25,,W,7E,7,6.23,0:47:38,,,
Week 4,24,,Th,10E (or shorter tempo),10,9.08,1:04:12,,0:16:00,2.81
Week 4,23,,F,5E + Strides,5,6.08,0:49:35,,,
Week 4,22,,Sa,18E,18,18.1,2:16:00,,,
Week 3,21,,Su,6E,6,6.04,0:47:04,,,
Week 3,20,,M,8E,8,5.4,0:43:08,,,
Week 3,19,,T,2E + 4x[2T w/2min E] + 2E,12,12.37,1:18:10,,0:44:18,8
Week 3,18,,W,8E,8,8.01,1:01:11,,,
Week 3,17,,Th,8E,8,8,1:03:23,,,
Week 3,16,,F,3E + 6M + 1T + 6M + 3E,18,18.26,1:56:41,,1:16:17,13
Week 3,15,,Sa,6E,8,7.05,0:48:39,,,
Week 2,14,,Su,5E,5,5.25,0:41:54,,,
Week 2,13,,M,6E,6,5.8,0:44:39,,,
Week 2,12,,T,2E + 3x[2T w/2min E] + 8E,16,15.7,1:48:32,,0:32:07,5.97
Week 2,11,,W,6E,6,7.36,1:04:27,,,
Week 2,10,,Th,4E + 1T + 2M + 1T + 2M + 2E,12,11.5,1:13:15,,0:33:29,6
Week 2,9,,F,5E + strides,5,6.16,0:46:53,,,
Week 2,8,,Sa,8E,8,9.07,1:04:54,,,
Week 1,7,,Su,10E,10,,,,,
Week 1,6,,M,60 min E,8,,,,,
Week 1,5,,T,4E + 3x[1T w/2min E] + 2E,9,,,,,
Week 1,4,,W,50 min E,7,,,,,
Week 1,3,,Th,30-40 min E,5,,,,,
Week 1,2,,F,0-20 min E,3,,,,,
Week 1,1,,Sa,20-30 min E,3,,,,,
Race,0,,Su,,,,,,,
