P_VDOT,P_HRMax,Point_Value
0.500,0.56,0.1
0.590,0.65,0.1
0.595,0.66,0.105
0.600,0.66,0.11
0.605,0.67,0.116
0.610,0.67,0.122
0.615,0.68,0.1285
0.620,0.68,0.135
0.625,0.69,0.1425
0.630,0.69,0.15
0.635,0.7,0.1585
0.640,0.7,0.167
0.645,0.71,0.175
0.650,0.71,0.183
0.655,0.72,0.1915
0.660,0.72,0.2
0.665,0.73,0.2085
0.670,0.73,0.217
0.675,0.74,0.225
0.680,0.74,0.233
0.685,0.75,0.2415
0.690,0.75,0.25
0.700,0.76,0.2665
0.710,0.76,0.283
0.715,0.77,0.2915
0.720,0.77,0.3
0.725,0.78,0.3085
0.730,0.78,0.317
0.735,0.79,0.325
0.740,0.79,0.333
0.745,0.8,0.3415
0.750,0.8,0.35
0.755,0.81,0.3585
0.760,0.81,0.367
0.765,0.82,0.3795
0.770,0.82,0.392
0.775,0.83,0.4045
0.780,0.83,0.417
0.785,0.84,0.4295
0.790,0.84,0.442
0.795,0.85,0.4545
0.800,0.85,0.467
0.805,0.86,0.4795
0.810,0.86,0.492
0.815,0.87,0.5045
0.820,0.87,0.517
0.825,0.88,0.5335
0.830,0.88,0.55
0.835,0.89,0.5665
0.840,0.89,0.583
0.850,0.9,0.6
0.860,0.9,0.617
0.865,0.91,0.6335
0.870,0.91,0.65
0.875,0.92,0.6665
0.880,0.92,0.683
0.890,0.93,0.703
0.900,0.93,0.723
0.905,0.94,0.743
0.910,0.94,0.763
0.915,0.95,0.7815
0.920,0.95,0.8
0.925,0.96,0.82
0.930,0.96,0.84
0.935,0.97,0.8615
0.940,0.97,0.883
0.950,0.98,0.9
0.960,0.98,0.917
0.970,0.99,0.9385
0.980,0.99,0.96
0.990,1,0.98
1.000,1,1
1.025,1,1.125
1.050,1,1.25
1.075,1,1.375
1.100,1,1.5
1.125,1,1.625
1.150,1,1.75
1.175,1,1.925
1.200,1,2.1
