Plan,E,M,T,I,R
12E,12,,,,
6E,6,,,,
7E,7,,,,
4E + 8x(1km I w/400m rest)  + 2E,6,,,4.972032318,
7E,7,,,,
6E + Strides,6,,,,
6E,6,,,,
16E,16,,,,
8E,8,,,,
6E,6,,,,
6E + T4 + 4min rest + 4T + 1E,7,,8,,
Double 6E,6,,,,
8E,8,,,,
3E + 3T + 60 min E + 2T + 2E,13,,5,,
8E,8,,,,
10E,10,,,,
8E,8,,,,
10E or Track,10,,,,
6E,6,,,,
4E + 3T + 4min E + 3T + 3min E + 2T + 2min E + 1T + 2E,7.5,,9,,
6E + Strides,6,,,,
18E,18,,,,
6E,6,,,,
8E,8,,,,
6E + 4x[2T w/2min rest] + 2E,8,,8,,
8E,8,,,,
8E,8,,,,
2E + 8M + 1T + 2M + 1E + 2M + 2E,5,12,2,,
10E,20,,,,
6E,6,,,,
8E,8,,,,
8E + 4x[600 + 500 + 400 + 300 + 200] + 2E,10,,,,5.220633934
7E,7,,,,
10E,10,,,,
6E,6,,,,
2E + 2x[2T w/2min rest] + 60 min E + 2T + 2E,12,,6,,
6E,6,,,,
8E,8,,,,
8E,8,,,,
6E,6,,,,
7E + 4x[2T w/2min rest] + 2E,9,,8,,
6E,6,,,,
19E,19,,,,
8E,8,,,,
10E,10,,,,
5E + 4T + 4min E + 3T + 3min E + 2T + 2min E + 1T +2E,11.25,,10,,
8E,8,,,,
10E,10,,,,
8E,8,,,,
4E + 8M + 1T + 4M + 1T + 2E,6,12,2,,
7E,7,,,,
7E,7,,,,
8E + 6x[1km I w/2min rest] + 4x[400R w/400 rest] + 2E,10,,,3.729024239,0.994406464
8E,8,,,,
9E,9,,,,
5E + Strides,5,,,,
8E + 3T + 8E,16,,2,,
5E,5,,,,
5-8E,7,,,,
Track (10 total),4,,,,
5E,5,,,,
2E + 14M + 2E,4,14,,,
5E + Strides,5,,,,
20E,20,,,,
10E,10,,,,
5E + 2x[3T w/3min rest] + 2T + 3E,8,,8,,
8E,8,,,,
5E + 6M + 1T + 5M + 3E,8,11,1,,
8E,8,,,,
10E,10,,,,
8E,8,,,,
7E,7,,,,
8E,8,,,,
8E + 8x[1km I w/2min rest] + 2E,10,,,4.972032318,
7E,7,,,,
10E,10,,,,
7E + Strides,7,,,,
1E + 3T + 10E + 3T + 1E ,12,,6,,
8E,8,,,,
6-8E,7,,,,
10E,10,,,,
5E,5,,,,
2E + 8M + 3T + 2E,4,8,3,,
5E + Strides,5,,,,
20E,20,,,,
8E,8,,,,
10E,10,,,,
4E + 4x[2T w/2 min rest] + 2E,6,,8,,
10E,10,,,,
12E,12,,,,
7E + Strides,7,,,,
2E + 8M + 1T + 4M + 1T + 1M +2E,4,13,2,,
8E,8,,,,
10E,10,,,,
6E + 5x[1km I w/2min rest] + 4x[400R w/400m rest] + 2E,8,,,3.107520199,0.994406464
7E,7,,,,
12E,12,,,,
7E,7,,,,
2E + 2T + 8E + 2T + 2E,12,8,4,,
6E,6,,,,
10E,10,,,,
3E + 3x[1T w/1 min rest] + 3x[1km I w/2min rest] + 3x[400R w/400m rest] + 2E,5,,3,1.864512119,0.745804848
7E,7,,,,
10E (or shorter tempo),10,,,,
5E + Strides,5,,,,
18E,18,,,,
6E,6,,,,
8E,8,,,,
2E + 4x[2T w/2min E] + 2E,4,,8,,
8E,8,,,,
8E,8,,,,
3E + 6M + 1T + 6M + 3E,6,12,1,,
6E,6,,,,
5E,5,,,,
6E,6,,,,
2E + 3x[2T w/2min E] + 8E,10,,6,,
6E,6,,,,
4E + 1T + 2M + 1T + 2M + 2E,6,4,2,,
5E + strides,5,,,,
8E,8,,,,
10E,10,,,,
60 min E,8,,,,
4E + 3x[1T w/2min E] + 2E,6,,,,
50 min E,6.666666667,,,,
30-40 min E,4.666666667,,,,
0-20 min E,2.75,,,,
20-30 min E,3.333333333,,,,
